Unnamed: 0,timestamp,value,is_anomaly,prediction,convergenceLoss,convergenceLossNormal,anomaly_score,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard,predicted_anomaly,convergenceLossNormal50,convergenceLossNormal100,convergenceLossNormal150
0,2015-02-26 21:42:53,0.0503597122302,0,0.000600488507189,0.00099616125226,1.0,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
1,2015-02-26 21:47:53,0.0287769784173,0,0.000600488507189,0.00099616125226,1.0,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
2,2015-02-26 21:52:53,0.10071942446,0,0.000600488507189,0.00099616125226,1.0,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
3,2015-02-26 21:57:53,0.0431654676259,0,0.000600488507189,0.00099616125226,1.0,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
4,2015-02-26 22:02:53,0.00719424460432,0,0.000600488507189,0.00099616125226,1.0,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
5,2015-02-26 22:07:53,0.0647482014388,0,0.000600488507189,0.00099616125226,1.0,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
6,2015-02-26 22:12:53,0.0503597122302,0,0.000600488507189,0.00099616125226,1.0,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
7,2015-02-26 22:17:53,0.0791366906475,0,0.000600488507189,0.00099616125226,1.0,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
8,2015-02-26 22:22:53,0.0647482014388,0,0.000600488507189,0.00099616125226,1.0,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
9,2015-02-26 22:27:53,0.10071942446,0,0.000600488507189,0.00099616125226,1.0,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
10,2015-02-26 22:32:53,0.0503597122302,0,0.000600488507189,0.00099616125226,1.0,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
11,2015-02-26 22:37:53,0.0431654676259,0,0.000600488507189,0.00099616125226,1.0,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
12,2015-02-26 22:42:53,0.0431654676259,0,0.000600488507189,0.00099616125226,1.0,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
13,2015-02-26 22:47:53,0.0791366906475,0,0.000600488507189,0.00099616125226,1.0,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
14,2015-02-26 22:52:53,0.0575539568345,0,0.000600488507189,0.00099616125226,1.0,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
15,2015-02-26 22:57:53,0.0935251798561,0,0.000600488507189,0.00099616125226,1.0,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
16,2015-02-26 23:02:53,0.0431654676259,0,0.000600488507189,0.00099616125226,1.0,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
17,2015-02-26 23:07:53,0.0431654676259,0,0.000600488507189,0.00099616125226,1.0,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
18,2015-02-26 23:12:53,0.0215827338129,0,0.000600488507189,0.00099616125226,1.0,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
19,2015-02-26 23:17:53,0.0431654676259,0,0.000600488507189,0.00099616125226,1.0,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
20,2015-02-26 23:22:53,0.0359712230216,0,0.000600488507189,0.00099616125226,1.0,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
21,2015-02-26 23:27:53,0.0287769784173,0,0.000600488507189,0.00099616125226,1.0,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
22,2015-02-26 23:32:53,0.0431654676259,0,0.000600488507189,0.00099616125226,1.0,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
23,2015-02-26 23:37:53,0.0359712230216,0,0.000600488507189,0.00099616125226,1.0,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
24,2015-02-26 23:42:53,0.0359712230216,0,0.00393070559949,0.000814818777144,0.0522623113029,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
25,2015-02-26 23:47:53,0.0287769784173,0,0.00647245440632,0.000796383537818,0.0476695059176,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
26,2015-02-26 23:52:53,0.0143884892086,0,0.00924781896174,0.000431017047958,0.0173869438746,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
27,2015-02-26 23:57:53,0.0287769784173,0,0.0118656139821,0.000270800868748,0.013598774457,0.5,0.0,0.0,0.0,0,0.5,0.5,0.5
