timestamp,value,error_prediction,anomaly_score,convergence_loss,prediction,S(t)_reward_low_FP_rate,S(t)_reward_low_FN_rate,S(t)_standard
2015-02-26 21:42:53,57,0.0,0.5,0,0.0,0.0,0.0,0.0
2015-02-26 21:47:53,43,0.0,0.5,0,0.0,0.0,0.0,0.0
2015-02-26 21:52:53,55,0.0,0.5,0,0.0,0.0,0.0,0.0
2015-02-26 21:57:53,64,0.0,0.5,0,0.0,0.0,0.0,0.0
2015-02-26 22:02:53,93,0.0,0.5,0,0.0,0.0,0.0,0.0
2015-02-26 22:07:53,104,0.0,0.5,0,0.0,0.0,0.0,0.0
2015-02-26 22:12:53,89,0.0,0.5,0,0.0,0.0,0.0,0.0
2015-02-26 22:17:53,87,0.0,0.5,0,0.0,0.0,0.0,0.0
2015-02-26 22:22:53,57,0.0,0.5,0,0.0,0.0,0.0,0.0
2015-02-26 22:27:53,68,0.0,0.5,0,0.0,0.0,0.0,0.0
2015-02-26 22:32:53,64,-64.0,0.5,[4096.0],0.0,0.0,0.0,0.0
2015-02-26 22:37:53,61,-61.0,0.5,[3721.0],0.0,0.0,0.0,0.0
2015-02-26 22:42:53,73,-73.0,0.5,[5329.0],0.0,0.0,0.0,0.0
2015-02-26 22:47:53,79,-79.0,0.5,[6241.0],0.0,0.0,0.0,0.0
2015-02-26 22:52:53,80,-80.0,0.5,[6400.0],0.0,0.0,0.0,0.0
2015-02-26 22:57:53,76,-76.0,0.5,[5776.0],0.0,0.0,0.0,0.0
2015-02-26 23:02:53,49,-49.0,0.5,[2401.0],0.0,0.0,0.0,0.0
2015-02-26 23:07:53,59,-59.0,0.5,[3481.0],0.0,0.0,0.0,0.0
2015-02-26 23:12:53,55,-55.0,0.5,[3025.0],0.0,0.0,0.0,0.0
2015-02-26 23:17:53,48,-48.0,0.5,[2304.0],0.0,0.0,0.0,0.0
2015-02-26 23:22:53,41,-41.0,0.500421531451,[1681.0],0.0,0.0,0.0,0.0
2015-02-26 23:27:53,49,-49.0,0.500651444836,[2401.0],0.0,0.0,0.0,0.0
2015-02-26 23:32:53,63,-63.0,0.503719509072,[3969.0],0.0,0.0,0.0,0.0
2015-02-26 23:37:53,36,-36.0,0.508516361281,[1296.0],0.0,0.0,0.0,0.0
2015-02-26 23:42:53,42,-42.0,0.513747457492,[1764.0],0.0,0.0,0.0,0.0
2015-02-26 23:47:53,50,-50.0,0.518894573256,[2500.0],0.0,0.0,0.0,0.0
2015-02-26 23:52:53,35,-35.0,0.517298878079,[1225.0],0.0,0.0,0.0,0.0
2015-02-26 23:57:53,41,-41.0,0.519035741317,[1681.0],0.0,0.0,0.0,0.0
2015-02-27 00:02:53,39,-39.0,0.520155759115,[1521.0],0.0,0.0,0.0,0.0
2015-02-27 00:07:53,48,-48.0,0.520299839235,[2304.0],0.0,0.0,0.0,0.0
2015-02-27 00:12:53,31,-31.0,0.518603387499,[961.0],0.0,0.0,0.0,0.0
2015-02-27 00:17:53,35,-35.0,0.519230956598,[1225.0],0.0,0.0,0.0,0.0
2015-02-27 00:22:53,32,-32.0,0.522467743308,[1024.0],0.0,0.0,0.0,0.0
2015-02-27 00:27:53,36,-36.0,0.521289127388,[1296.0],0.0,0.0,0.0,0.0
2015-02-27 00:32:53,37,-37.0,0.521337144417,[1369.0],0.0,0.0,0.0,0.0
2015-02-27 00:37:53,62,-62.0,0.520321913141,[3844.0],0.0,0.0,0.0,0.0
2015-02-27 00:42:53,41,-41.0,0.518983325222,[1681.0],0.0,0.0,0.0,0.0
2015-02-27 00:47:53,51,-51.0,0.517802771329,[2601.0],0.0,0.0,0.0,0.0
2015-02-27 00:52:53,65,-65.0,0.513779583317,[4225.0],0.0,0.0,0.0,0.0
2015-02-27 00:57:53,39,-39.0,0.514908158128,[1521.0],0.0,0.0,0.0,0.0
2015-02-27 01:02:53,56,-56.0,0.510685478924,[3136.0],0.0,0.0,0.0,0.0
2015-02-27 01:07:53,42,-42.0,0.508914285145,[1764.0],0.0,0.0,0.0,0.0
2015-02-27 01:12:53,62,-62.0,0.503542686306,[3844.0],0.0,0.0,0.0,0.0
2015-02-27 01:17:53,46,-46.0,0.501220339959,[2116.0],0.0,0.0,0.0,0.0
2015-02-27 01:22:53,46,-46.0,0.499007095668,[2116.0],0.0,0.0,0.0,0.0
